"","cp_value","feeding","N","AvgMass","StderrMass"
"Cephalobidae","2","3",160,0.4869,0.066
"Dolichodoridae","3","1",61,2.139,0.2157
"Hoplolaimidae","3","1",359,0.5587,0.0846
"Leptonchidae","4","2",87,0.9613,0.1172
"Qudsianematidae","4","8",121,2.9891,0.5442
"Rhabditidae","1","3",205,5.3203,0.5387
"Tylenchidae","2","1",553,0.1592,0.0092
"Acrobeles","2","3",18,0.6403,0.1538
"Acrobeloides","2","3",15,1.2632,0.5572
"Alaimus","4","3",17,0.5606,0.2221
"Amplimerlinius","3","1",30,1.0623,0.1582
"Aphelenchoides","2","2",60,0.1527,0.0122
"Aphelenchus","2","2",4,0.218,0.0158
"Aporcelaimellus","5","5",30,9.6337,1.4555
"Aprutides","2","2",2,0.0582,8e-04
"Axonchium","5","1",8,3.1287,1.2191
"Cephalobus","2","3",8,0.2662,0.0397
"Cervidellus","2","3",10,0.1743,0.0425
"Clarkus","4","5",9,3.7945,1.1944
"Coslenchus","2","1",53,0.0999,0.0043
"Criconemoides.x","3","1",20,0.6627,0.1238
"Diphtherophora","3","2",6,0.5039,0.0852
"Discolaimium","4","5",9,1.191,0.3867
"Discolaimus","4","5",13,2.6886,0.5454
"Ditylenchus","2","2",20,0.4959,0.0874
"Dorylaimoides","4","8",13,1.1164,0.0969
"Ecumenicus","4","8",6,0.6406,0.0688
"Eucephalobus","2","3",9,0.2358,0.0307
"Eudorylaimus","4","5",25,3.1855,0.2718
"Filenchus","2","2",119,0.1001,0.0122
"Gracilacus","2","1",7,0.037,0.0052
"Helicotylenchus","3","1",250,0.2937,0.0144
"Heterocephalobus","2","3",8,0.3559,0.0612
"Lelenchus","2","1",7,0.0444,0.0068
"Longidorella","4","1",10,0.595,0.1041
"Criconemoides.y","3","1",20,0.6627,0.1238
"Malenchus","2","1",55,0.0798,0.0058
"Meloidogyne","3","1",42,86.9854,15.764
"Merlinius","3","1",32,0.2527,0.0322
"Mesodorylaimus","4","8",61,1.2813,0.0853
"Mesorhabditis","1","3",10,0.5676,0.075
"Miconchus","4","5",10,4.7824,0.7771
"Mylonchulus","4","5",43,1.7614,0.1545
"Nygolaimus","5","5",14,5.7902,2.5107
"Panagrolaimus","1","3",15,0.6602,0.0895
"Paramphidelus","4","3",16,0.198,0.0459
"Paraphelenchus","2","2",9,0.3356,0.0617
"Paratylenchus","2","1",69,0.0542,0.0028
"Plectus","2","3",47,0.8578,0.1332
"Pratylenchus","3","1",83,0.1443,0.0064
"Prionchulus","4","5",13,11.5883,1.641
"Prismatolaimus","3","3",11,0.3739,0.165
"Prodorylaimus","4","8",17,5.6305,1.3491
"Psilenchus","2","1",29,0.5515,0.0812
"Rhabditis","1","3",13,7.4997,2.8186
"Rotylenchus","3","1",40,0.8722,0.1005
"Sectonema","5","8",10,53.299,12.6024
"Thonus","4","5",16,1.8915,0.2486
"Tylencholaimellus","4","2",59,0.7092,0.0839
"Tylencholaimus","4","2",29,0.4303,0.0423
"Tylenchus","2","1",40,0.3529,0.0304
"Tylocephalus","2","3",9,0.2122,0.0248
"Wilsonema","2","3",3,0.0543,0.0052
"Xiphinema","5","1",61,5.5154,0.5848
